name,type,area,address,phone,instagram,website_status,why_good_lead,notes
Dar Zaki,restaurant,Medina,Rue Moulay Brahim / Souk Sebbat,,,https://www.instagram.com/,none-known,"600+ TripAdvisor reviews 4.6, tourist-heavy medina = tourists search for them online",verify phone on site visit
Dar El Medina (Traditions & Flavors),restaurant,Medina,Souk Al Sabat,,@darelmedinarabat,instagram-only,"Strong brand + active Instagram but no real website found",high-value pitch: menu/reservation page in EN/FR
Restaurant Dinarjat,restaurant,Medina,,,,unknown,Classic upscale Moroccan spot,check web presence before visit
Le Bistrot du Pietri,restaurant,Hassan/Uptown,Avenue Mohammed V,,,,Listed in top-10 Rabat roundups,old-school French bistro clientele; likely dated or no site
Le Dhow,restaurant,Bouregreg riverfront,,,,unknown,Floating restaurant - landmark venue; booking online matters for events
Sultan Saray,restaurant,Agdal,,,,unknown,Turkish grill popular with locals,likely Facebook-only presence
La Mamma's Pizza,restaurant,Centre-ville,,,,unknown,Pizzeria family crowd,simple menu site is easy sell
El Barrio Latino,restaurant,Centre-ville,,,,unknown,In top-10 lists,young crowd - reservations via DM only probably
Cafes Carrion,coffee-shop,Agdal (train station) + Takaddoum,,,,,unknown,Local roaster chain expanding - new openings need web presence
Villa My Pearl,coffee-shop,Agdal,Avenue Ibn Sina,,@villamypearl,instagram-only,"Brand-new cafe restaurant, IG-driven",new businesses have budget and no site yet
